Item Number,Item Title,Item Description,Treatment Friendly Name,Private,Medicare,Vet Affairs,VGDS,VGDS PAT,Surfaces,,,,,,,,,,,,,,,,
536,Adhesive restoration – veneer – posterior tooth – direct,Direct bonding of a veneer of adhesive tooth-coloured material to the surface of a posterior tooth.,Adhesive restoration - veneer - posterior tooth - direct,500,0,49.15,0,0,5,,,,,,,,,,,,,,,,
541,Metallic restoration – one surface – indirect,"Indirect metallic restoration, involving one surface of a tooth.",,,,,,,1,,,,,,,,,,,,,,,,
542,Metallic restoration – two surfaces – indirect,"Indirect metallic restoration, involving two surfaces of a tooth.",,,,,,,2,,,,,,,,,,,,,,,,
543,Metallic restoration – three surfaces – indirect,"Indirect metallic restoration, involving three surfaces of a tooth.",,,,,,,3,,,,,,,,,,,,,,,,
544,Metallic restoration – four surfaces – indirect,"Indirect metallic restoration, involving four surfaces of a tooth.",,,,,,,4,,,,,,,,,,,,,,,,
545,Metallic restoration – five surfaces – indirect,"Indirect metallic restoration, involving five surfaces of a tooth.",,,,,,,5,,,,,,,,,,,,,,,,
551,Tooth-coloured restoration – one surface – indirect,"Indirect tooth-coloured restoration, involving one surface of a tooth.",Tooth coloured restoration - 1 surface - indirect,0,0,730.85,0,0,,,,,,,,,,,,,,,,,
552,Tooth-coloured restoration – two surfaces – indirect,"Indirect tooth-coloured restoration, involving two surfaces of a tooth.",Inlay/onlay - tooth-coloured 2 surfaces,0,0,844.45,0,0,,,,,,,,,,,,,,,,,
553,Tooth-coloured restoration – three surfaces – indirect,"Indirect tooth-coloured restoration, involving three surfaces of a tooth.",Inlay/onlay - tooth-coloured 3/more surfs,0,0,1039.3,0,0,,,,,,,,,,,,,,,,,
554,Tooth-coloured restoration – four surfaces – indirect,"Indirect tooth-coloured restoration, involving four surfaces of a tooth.",,,,,,,,,,,,,,,,,,,,,,,
555,Tooth-coloured restoration – five surfaces – indirect,"Indirect tooth-coloured restoration, involving five surfaces of a tooth.",,,,,,,,,,,,,,,,,,,,,,,
556,Tooth-coloured restoration – veneer – indirect,The attachment of a tooth-coloured veneer to the surface of a tooth. The veneer is constructed indirectly.,Tooth-coloured restoration veneer indirect,2200,0,893.65,0,0,,,,,,,,,,,,,,,,,
571,Adaptation of new restoration to existing removable prosthesis – per tooth,Used in conjunction with restorative services where adaptation of the new restoration is required to accommodate the seating and/or retention of an existing removable prosthesis.,Adaptation of new restoration to existing removable prosthesis per tooth,0,0,0,0,0,,,,,,,,,,,,,,,,,
572,Provisional/interim restoration – per tooth,The provisional (interim) restoration of a tooth designed to last until the definitive restoration can be constructed or the tooth is removed.,Recement Inlay,70,0,52.35,0,0,,,,,,,,,,,,,,,,,
574,Metal band,The cementation of a metal band for diagnostic or protective purposes or for the placement of a provisional (intermediate) restoration.,Temporary Restoration,80,0,44.15,0,0,,,,,,,,,,,,,,,,,
575,Pin retention – per pin,Use of a pin to aid the retention and support of direct or indirect restorations in a tooth.,Pin retention - per pin,25,20,30.15,16.45,2.5,,,,,,,,,,,,,,,,,
577,Cusp capping – per cusp,Used in conjunction with items describing direct or indirect restorations of posterior teeth that are formed in such a manner as to restore the anatomical or functional height of a cusp.,Cusp capping - per cusp,50,0,32.55,0,0,,,,,,,,,,,,,,,,,
578,Restoration of an incisal corner – per corner,Used in conjunction with items describing direct or indirect restorations of anterior teeth that are formed in such a way as to restore the anatomical or functional shape of an incisal corner.,Restoration incisal corner - per corner,60,0,32.55,0,0,,,,,,,,,,,,,,,,,
579,Bonding of tooth fragment,The direct bonding of a tooth fragment as an alternative to placing a restoration.,,,,,,,,,,,,,,,,,,,,,,,
586,Preformed Full Crown – metallic – significant tooth preparation,Placing a preformed metallic crown as a coronal restoration for a tooth where significant tooth preparation is required.,Crown metallic with tooth preparation preformed,0,0,276.05,0,0,,,,,,,,,,,,,,,,,
587,Preformed Full Crown – metallic – minimal tooth preparation,"Placing a preformed metallic crown as a coronal restoration for a tooth where minimal or no preparation of the tooth is required, referred to as the 'Hall' technique.",Crown metallic minimal tooth preparation preformed,0,0,163.8,0,0,,,,,,,,,,,,,,,,,
588,Preformed Full Crown – tooth-coloured,Placing a preformed tooth-coloured crown as a coronal restoration for a tooth.,Crown tooth-coloured preformed,0,0,276.05,0,0,,,,,,,,,,,,,,,,,
595,Removal of indirect restoration,"The removal of a currently cemented definitive indirect restoration, which may be subsequently reinserted.",Removal of inlay/onlay,100,0,104.05,0,0,,,,,,,,,,,,,,,,,
596,Recementing of indirect restoration,Recementing a previously cemented indirect restoration.,Recementing of inlay/onlay,0,55,85.05,0,0,,,,,,,,,,,,,,,,,
597,Post – direct,Insertion of a post into a prepared root canal to provide an anchor for an artificial crown or other restoration.,Post - direct,150,0,160.9,102.25,16,,,,,,,,,,,,,,,,,
598,Restoration root capping – direct,A direct restoration of the root of a decoronated tooth. Not to be used with 577.,,,,,,,,,,,,,,,,,,,,,,,
411,Direct pulp capping,A procedure where an exposed pulp is directly covered with a protective dressing or cement.,Direct pulp capping,65,18,37.5,0,0,,,,,,,,,,,,,,,,,
412,Incomplete endodontic therapy (tooth not suitable for further treatment),A procedure where in assessing the suitability of a tooth for endodontic treatment a decision is made that the tooth is not suitable for restoration. Temporisation is itemised separately.,Incomplete Endodontic Therapy (inop or frac tooth),0,0,128.25,0,0,,,,,,,,,,,,,,,,,
414,Pulpotomy,Amputation of part of the pulp. The pulp remaining is then covered with a protective dressing or cement.,Pulpotomy,320,41,81.7,41.4,6.5,,,,,,,,,,,,,,,,,
415,Complete chemo-mechanical preparation of root canal – one canal,"Complete chemo-mechanical preparation, including removal of pulp or necrotic debris from a canal.",Compl chemo-mech prep root canal 1 can,300,115,230,130.9,20.5,,,,,,,,,,,,,,,,,
416,Complete chemo-mechanical preparation of root canal – each additional canal,"Complete chemo-mechanical preparation, including removal of pulp or necrotic debris from each additional canal of a tooth with multiple canals.",Compl chemo-mech prep root canal add,200,46,109.6,45.35,7,,,,,,,,,,,,,,,,,
417,Root canal obturation – one canal,"The filling of a root canal, following chemo-mechanical preparation.",Root canal obturation - 1 canal,300,148,224.1,106.05,16.5,,,,,,,,,,,,,,,,,
418,Root canal obturation – each additional canal,"The filling, following chemo-mechanical preparation, of each additional canal in a tooth with multiple canals.",Root canal obturation - each add,200,52,104.8,25.15,4,,,,,,,,,,,,,,,,,
