Item Number,Item Title,Item Description,Treatment Friendly Name,Private,Medicare,Vet Affairs,VGDS,VGDS PAT,Surfaces,,,,,,,,,,,,,,,,
353,Fracture of maxilla or mandible – with wiring of teeth or intraoral fixation,Treatment of a fracture of the maxilla or mandible where interdental wiring or the application of a dental splint is indicated.,,,,,,,,,,,,,,,,,,,,,,,
354,Fracture of maxilla or mandible – with external fixation,Treatment of a fracture of the maxilla or mandible using sets of pins inserted through the skin and into the maxillary or mandibular bone to reduce and fix the fracture.,,,,,,,,,,,,,,,,,,,,,,,
355,Fracture of zygoma,Treatment of a fracture of the zygoma.,,,,,,,,,,,,,,,,,,,,,,,
359,Fracture of the maxilla or mandible requiring open reduction,Surgical treatment of a fracture of the maxilla or mandible where the fracture is exposed and reduction and fixation of the fragments are performed directly.,,,,,,,,,,,,,,,,,,,,,,,
361,Mandible – relocation following dislocation,Relocation of the condylar head of the mandible within the temporomandibular joint fossa following its dislocation.,,,,,,,,,,,,,,,,,,,,,,,
363,Mandible – relocation requiring open operation,Surgical exposure of a dislocated temporomandibular joint and its correct repositioning.,,,,,,,,,,,,,,,,,,,,,,,
365,Osteotomy – maxilla,Surgical exposure and fracturing of the maxilla in predetermined planes in order to modify its form or position.,,,,,,,,,,,,,,,,,,,,,,,
366,Osteotomy – mandible,Surgical exposure and fracturing of the mandible in predetermined planes in order to modify its form or position.,,,,,,,,,,,,,,,,,,,,,,,
371,"Removal of tumour, cyst or scar – cutaneous, subcutaneous or in mucous membrane","The surgical removal of a tumour, cyst or scar from cutaneous or subcutaneous tissues or from mucous membrane.",,,,,,,,,,,,,,,,,,,,,,,
373,"Removal of tumour, cyst or scar involving muscle, bone or other deep tissue","The surgical removal of a tumour, cyst or scar involving muscle, bone or other deep tissue.",,,,,,,,,,,,,,,,,,,,,,,
375,Surgery to salivary duct,"A general item to describe any surgery to salivary ducts, including removal of stones and plastic surgery.",,,,,,,,,,,,,,,,,,,,,,,
376,Surgery to salivary gland,A general item to describe any surgery to the salivary gland that cannot be described by another item.,,,,,,,,,,,,,,,,,,,,,,,
